Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,TextualData
34,No,Middle Income,6,No,Yes,0,The customer is 34 years old and has indicated not being a frequent flyer. Their annual income class is Middle Income. They have availed 6 services. The customer has not synchronized their account to any social media platform but has booked a hotel.
34,Yes,Low Income,5,Yes,No,1,"The customer is aged 34 and is a frequent flyer. They have a low income and have opted for 5 services from the company. Their account is synced to social media, but they have not yet booked a hotel through the company."
37,No,Middle Income,3,Yes,No,0,"The customer is 37 years old and is not a frequent flyer. Their annual income class is classified as middle income. The customer opted for 3 services and has their account synced to social media. However, the customer has not booked a hotel."
30,No,Middle Income,2,No,No,0,"The customer is aged 30 and is not a frequent flyer. They fall under the middle income class category in terms of annual income. They have opted for 2 services with the company. The customer has not synced their account to social media, and they also have not booked a hotel through the company."
30,No,Low Income,1,No,No,0,"The customer is 30 years old, does not frequently fly, has a low annual income, has opted for 1 service, did not sync the account to social media, and has not booked a hotel."
27,Yes,High Income,1,No,Yes,1,"The customer is 27 years old, with a high income and a history of frequent flying. They have opted for 1 service, booked a hotel, and have not synced their account to social media."
34,No,Middle Income,4,Yes,Yes,0,"A customer, aged 34, is classified as having a middle income. They did not identify as a frequent flyer but have opted for 4 services. Additionally, the customer has their account synced to social media and has booked a hotel."
34,No,Low Income,2,Yes,No,1,The customer's age is 34. They are not a frequent flyer and fall under the low income annual income class category. The customer has opted for 2 services and has their account synced to social media. They have not booked a hotel.
30,No,Low Income,3,No,Yes,0,The customer is 30 years old and has opted for 3 services from the tour and travels company. They do not have frequent flyer status and belong to the low-income class. The customer has not synced their account to social media and has booked a hotel through the company.
36,Yes,High Income,1,No,No,1,"The customer, aged 36, is a frequent flyer with a high income class. They have opted for 1 service from the tour and travels company. Their account is not synced to social media and they have not booked a hotel through the company."
34,No,Low Income,1,Yes,Yes,0,"A 34-year-old customer with low income, who is not a frequent flyer, has opted for 1 service and synced their account to social media. This customer has also booked a hotel."
28,No,Middle Income,2,No,No,1,"The customer is 28 years old and is not a frequent flyer. Their annual income falls into the Middle Income class. They have opted for 2 services and have not synced their account to any social media platform. Additionally, they have not booked a hotel through the company's services."
35,No Record,Middle Income,1,Yes,Yes,0,"The customer is 35 years old and falls into the middle income class. They are not recorded as a frequent flyer. They have opted for 1 service, and their account is synced to social media. Additionally, they have booked a hotel."
34,Yes,Low Income,4,No,No,0,"The customer is 34 years old and has opted for 4 services. They are a frequent flyer and have not booked a hotel yet. Their annual income class is categorized as low income, and their account is not synced to social media. These indicators will help the tour and travels company predict whether this customer is likely to churn or not in the future."
34,No,Middle Income,5,No,No,0,The customer is 34 years old and falls under the Middle Income category for annual income. They are not a Frequent Flyer and have not synced their account to social media. The customer has opted for 5 services but has not booked a hotel.
37,Yes,Low Income,6,No,Yes,0,"The customer is 37 years old and has opted for 6 services. They are a frequent flyer and have a low annual income. Their account is not synced to social media, and they have already booked a hotel."
30,No,Low Income,1,Yes,Yes,0,The customer is aged 30 and has not been identified as a frequent flyer. The customer belongs to the low income class and has opted for 1 service. Their account is synced to social media and they have already booked a hotel.
30,Yes,High Income,1,Yes,No,0,"A customer, aged 30, is a frequent flyer with a high income level. They have opted for 1 service and have their account synced to social media. However, they have not yet booked a hotel."
31,No,Middle Income,1,No,Yes,0,The customer is 31 years old and falls under the middle-income bracket. They have not enrolled as a frequent flyer and have not synced their account to any social media platform. They have opted for one service and have booked a hotel for their travel.
37,No,Low Income,2,Yes,No,1,The individual is 37 years old and has not signed up for a Frequent Flyer program. Their income class is categorized as Low Income. They have opted for 2 travel services. The individual has synced their account to social media. They have not made a hotel booking.
30,No,Middle Income,4,No,Yes,0,"The customer is 30 years old and belongs to the middle income class. They have opted for 4 services from the tour & travels company. The customer is not a frequent flyer and has not synced their account to social media. Additionally, the customer has booked a hotel through the company."
